name,city,state,ein,ntee_code,total_revenue,ntee_major,source
4H CAMP HOLIDAY LAKE 4-H EDUCATIONAL CENTER INC,APPOMATTOX,VA,,,,,irs_990pf
ALLIANCE DEFENSE FUND,SCOTTSDALE,AZ,,,,,irs_990pf
AMERICAN CANCER SOCIETY,BALTIMORE,MD,,,,,irs_990pf
AMERICAN FIELD SERVICES,NEW YORK,NY,,,,,irs_990pf
AMERICAN RED CROSS,HARTFORD,CT,,,,,irs_990pf
ANIMAL RESCUE FOSTER PRO,GREENSBORO,NC,,,,,irs_990pf
ANNAPOLIS LODGE 89 FDN,ANNAPOLIS,MD,,,,,irs_990pf
AVERY HEIGHTS,HARTFORD,CT,,,,,irs_990pf
CENTRAL ASIA INSTITUTE,BOZEMAN,MT,,,,,irs_990pf
COMMUNITY INVESTMENT COLLABORATIVE,CHARLOTTESVILLE,VA,,,,,irs_990pf
CONNECTICUT CHILDREN S MEDICAL CENTER FOUNDATION,HARTFORD,CT,,,,,irs_990pf
CONNECTICUT SCIENCE CENTER,HARTFORD,CT,,,,,irs_990pf
CONSTRUCTIVE WORKSHOPS INC,NEW BRITAIN,CT,,,,,irs_990pf
COOPERATIVE MIDDLE SCHOOL PTO,STRATHAM,NH,,,,,irs_990pf
CPTV,HARTFORD,CT,,,,,irs_990pf
DANIEL WEBSTER COUNSEL BSA,MANCHESTER,NH,,,,,irs_990pf
DELAWARE STRONG FAMILIES,SEAFORD,DE,,,,,irs_990pf
DELLWYN VOLUNTEER FIRE DEPARTMENT,DILLWYN,VA,,,,,irs_990pf
END 68 HOURS OF HUNGER,SOMERSWORTH,NH,,,,,irs_990pf
EXETER CONGREGATIONAL CHURCH,EXETER,NH,,,,,irs_990pf
EXETER ELEMENTARY PTO,EXETER,NH,,,,,irs_990pf
FALLSTON ANIMAL RESCUE MOVEMENT,FALLSTON,MD,,,,,irs_990pf
FAMILY RESEARCH COUNCIL,WASHINGTON,DC,,,,,irs_990pf
FIDELCO GUIDE DOG,BLOOMFIELD,CT,,,,,irs_990pf
FOCUS ON THE FAMILY,COLORADO SPRINGS,CO,,,,,irs_990pf
FRIENDS OF SOUTH WINDSOR PUBLIC LIBRARY,SOUTH WINDSOR,CT,,,,,irs_990pf
GETTYSBURG COLLEGE,GETTSBURG,PA,,,,,irs_990pf
GLASTONBURY ABC INC,GLASTONBURY,CT,,,,,irs_990pf
GOODSPEED OPERA HOUSE,EAST HADDAM,CT,,,,,irs_990pf
GREENSBORO URBAN MINISTRY,GREENSBORO,NC,,,,,irs_990pf
HABITAT FOR HUMANITY,HARTFORD,CT,,,,,irs_990pf
HARTFORD STATE,HARTFORD,CT,,,,,irs_990pf
HARTFORD SYMPHONY ORCHESTRA,HARTFORD,CT,,,,,irs_990pf
JANE M JOHNSTON FOUNDATIONCAMP SUNRISE,BALTIMORE,MD,,,,,irs_990pf
JONI FRIENDS,AQOURA HILLS,CA,,,,,irs_990pf
KERNVILLE MIDDLE SCHOOL,GREENSBORO,NC,,,,,irs_990pf
